EV Sahibi,Deplasman,Skor,EV GOL,DEP GOL,TOPLAM GOL,SONUÇ,1.5-ALT/ÜST,2.5-ALT/ÜST,3.5-ALT/ÜST,4.5-ALT/ÜST,MS-1,MS-X,MS-2,ÇŞ-1X,ÇŞ-12,ÇŞ-X2,H:02-1,H:02-X,H:02-2,H:01-1,H:01-X,H:01-2,H:10-1,H:10-X,H:10-2,H:20-1,H:20-X,H:20-2,ALL
Bang Gangzdai,FK Panevezys,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.05,3.25,3.40,1.45,1.20,1.45,6.25,4.25,1.12,3.40,3.25,1.45,1.30,3.40,4.25,1.08,4.40,7.50,ALL
Mainz,Hoffenheim,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.45,3.20,2.10,1.35,1.25,1.30,6.75,4.50,1.08,3.95,3.35,1.30,1.42,3.50,3.30,1.12,4.30,5.70,ALL
Nürnberg,Bochum ,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.00,2.90,2.70,1.15,1.20,1.45,5.75,4.75,1.12,3.25,3.30,1.45,1.25,3.60,4.75,1.05,4.50,8.25,ALL
Holstein Kiel,Arminia Bielefeld,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.40,2.90,2.15,1.40,1.25,1.30,7.25,4.40,1.08,4.00,3.50,1.30,1.35,3.40,3.60,1.10,4.25,6.50,ALL
Schalke 04,Werder Bremen,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.85,2.50,1.30,1.30,1.38,7.00,4.25,1.08,3.80,3.30,1.38,1.28,3.40,4.40,1.06,4.40,8.00,ALL
SC Dnipro-1,Olimpic Donetsk,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.95,2.90,2.75,1.20,1.25,1.45,6.25,4.00,1.12,3.30,3.10,1.45,1.20,3.50,5.25,1.05,4.40,9.00,ALL
Kisvarde,Ujpest,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,3.10,2.50,1.30,1.25,1.40,6.00,4.25,1.12,3.30,3.40,1.40,1.30,3.60,4.25,1.05,4.50,7.25,ALL
LKS Lodz,Gornik Zabre,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.30,2.80,2.35,1.30,1.25,1.30,7.25,4.25,1.08,4.00,3.40,1.30,1.30,3.40,4.00,1.08,4.25,7.25,ALL
Sandhausen,Hannover 96,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.40,2.85,2.20,1.35,1.25,1.30,7.25,4.40,1.08,4.00,3.50,1.30,1.35,3.40,3.75,1.08,4.25,6.75,ALL
Tellina,Tartu JK Tam,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.00,3.00,2.55,1.25,1.20,1.40,6.25,4.25,1.12,3.40,3.25,1.45,1.25,3.50,4.60,1.05,4.40,8.00,ALL
Oleksandriya,Zory Luhansk,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.65,2.75,2.10,1.50,1.25,1.25,9.00,4.40,1.05,5.00,3.40,1.25,1.40,3.10,3.75,1.08,4.00,7.25,ALL
Suwon City,Bucheon,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.00,2.85,2.75,1.20,1.25,1.45,6.00,4.00,1.12,3.30,3.20,1.45,1.20,3.60,5.00,1.05,4.50,8.50,ALL
BGU Minsk,Vitebsk,3-3,3,3,6,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.90,2.80,2.95,1.15,1.25,1.48,6.25,4.00,1.12,3.25,3.00,1.48,1.20,3.55,5.50,1.00,4.40,9.50,ALL
Ansan Greene,Jeju United,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.00,2.80,1.90,1.55,1.25,1.20,9.50,4.40,1.00,5.50,3.60,1.20,1.50,3.10,3.20,1.12,4.00,6.00,ALL
Chungnam Asan FC,Seoul E-Land,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.45,2.85,2.15,1.45,1.25,1.30,8.00,4.00,1.05,4.40,3.50,1.30,1.35,3.30,3.75,8.00,4.40,1.05,ALL
FC Seoul,Seongnam FC,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.70,3.00,1.22,1.28,1.45,6.50,4.00,1.10,3.40,3.05,1.45,1.20,3.50,5.80,1.00,1.40,10.00,ALL
Cracovia,Jagiellonia Bialystok,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.80,2.90,3.10,1.20,1.55,1.50,5.50,4.00,1.15,3.00,3.10,1.50,1.18,3.60,5.50,1.02,4.50,9.50,ALL
Incheon Unıted,Pohang Steelers,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,3.50,2.85,1.70,1.58,1.22,1.12,11.00,4.40,1.00,6.75,3.70,1.12,1.58,2.95,2.85,1.18,3.80,5.40,ALL
FC Ruh Brest,FC Dinamo Brest,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,3.70,2.95,1.62,1.52,1.22,1.22,11.00,4.40,1.00,7.00,3.80,1.12,1.65,3.00,2.65,1.22,3.75,4.80,ALL
Karvina,Sparta Prag,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,3.75,2.95,1.65,1.60,1.25,1.12,12.00,4.40,1.00,7.00,3.75,1.12,1.65,2.95,2.70,1.20,3.75,5.00,ALL
Shakhtar Donetsk,Dinamo Kiev,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.70,2.95,3.30,1.20,1.20,1.60,5.25,3.90,1.18,2.80,3.00,1.60,1.15,3.75,6.25,1.00,1.00,1.00,ALL
Tainan City,Taipei Tatung,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.45,3.50,1.90,1.55,1.18,1.30,1.00,1.00,1.00,3.90,3.90,1.30,1.50,3.60,2.85,1.18,4.25,4.75,ALL
Arsenal Dzersink,Naftan Novoplostk,4-2,4,2,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.55,2.85,2.10,1.35,1.25,1.25,1.00,1.00,1.00,4.60,3.40,1.25,1.40,3.25,3.60,1.10,4.25,6.75,ALL
Lechia Gdansk,Arka Gdynia,4-3,4,3,7,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.60,3.00,3.75,1.15,1.20,1.75,4.60,3.75,1.25,2.55,3.00,1.75,1.12,3.90,7.00,1.00,4.50,12.00,ALL
Taiwan Power Company,Hang Yuen,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.60,3.40,3.25,1.18,1.20,1.67,3.90,3.90,1.25,2.35,3.30,1.67,1.15,4.00,5.25,1.00,1.00,1.00,ALL
Puskas Akad,Ferencvaros,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.10,3.20,1.70,1.50,1.20,1.18,9.00,4.60,1.02,5.25,3.90,1.18,1.60,3.25,2.65,1.20,4.00,4.75,ALL
Esbjerg,Aalborg BK,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.10,2.80,1.85,1.50,1.25,1.18,10.00,4.40,1.02,6.00,3.60,1.18,1.50,3.10,3.10,1.15,4.00,5.75,ALL
Vorskla Poltava,FC Lviv,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.75,2.85,1.20,1.25,1.45,6.50,4.00,1.12,3.40,3.10,1.45,1.20,3.50,5.50,1.02,4.40,10.00,ALL
Nykoebing,Roskilde,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.65,3.10,3.40,1.15,1.20,1.62,4.50,3.90,1.20,2.55,3.20,1.62,1.15,3.90,6.00,1.02,4.60,9.50,ALL
Teplice,Opava,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.65,2.85,3.90,1.12,1.20,1.65,5.50,3.75,1.18,2.80,2.80,1.65,1.12,3.75,8.00,1.00,4.25,12.50,ALL
Levadia,Paide Flora,4-1,4,1,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.80,3.10,2.85,1.25,1.20,1.55,5.00,4.00,1.18,2.85,3.25,1.55,1.20,3.75,5.00,1.05,4.60,8.25,ALL
Wisla Plock,Korona Kielce,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.90,2.75,3.00,1.25,1.25,1.45,6.25,4.00,1.12,3.30,3.10,1.45,1.20,3.60,5.75,1.02,4.40,10.00,ALL
Rijeka,Osijek,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.90,2.80,3.00,1.18,1.25,1.50,6.25,4.00,1.12,3.30,3.00,1.50,1.20,3.50,5.75,1.02,4.40,10.00,ALL
Bud. Honved,Debrecen,3-1,3,1,4,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.20,3.00,2.30,1.40,1.25,1.35,6.50,4.40,1.08,3.60,3.50,1.35,1.35,3.50,3.75,1.08,4.40,6.75,ALL
FK Macva Sabac,Vozdovac,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.65,2.45,1.32,1.28,1.32,8.25,4.20,1.06,4.30,3.15,1.32,1.28,3.25,4.75,1.05,4.25,9.00,ALL
Vendsyssel,Fredericia,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.20,2.85,2.45,1.25,1.25,1.35,7.00,4.25,1.08,3.75,3.30,1.35,1.30,3.40,4.25,1.05,4.40,8.00,ALL
Atletico Academy,Bujumbura City FC,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.80,2.65,1.20,1.25,1.40,7.00,4.00,1.08,3.60,3.10,1.40,1.25,3.40,5.00,1.00,1.00,1.00,ALL
1860 Münih,Duisburg,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.05,2.95,2.55,1.25,1.25,1.40,6.00,4.25,1.12,3.40,3.30,1.40,1.25,3.60,4.50,1.05,4.50,8.00,ALL
Bohemians Prag,Dynamo Budejovice,3-2,3,2,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.15,2.75,2.55,1.18,1.25,1.40,7.00,4.25,1.08,3.75,3.25,1.40,1.25,3.40,4.60,1.05,4.40,8.50,ALL
Preussen,Hallecsher,4-2,4,2,6,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,2.35,2.90,2.25,1.35,1.25,1.30,7.25,4.40,1.08,4.00,3.40,1.30,1.35,3.40,3.75,1.08,4.25,6.75,ALL
Heidenheim,Erzgebirge Aue,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.70,3.00,3.30,1.15,1.20,1.60,5.00,3.90,1.20,2.75,3.10,1.60,1.15,3.75,6.00,1.02,4.50,10.00,ALL
B36 Torshavn,HB Torshavn,2-4,2,4,6,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.80,2.85,3.25,1.25,1.20,1.55,5.00,4.00,1.18,2.80,3.25,1.55,1.15,3.90,5.75,1.00,1.00,1.00,ALL
Randers,Hobro,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.60,3.00,3.90,1.08,1.18,1.70,4.60,3.75,1.25,2.50,2.95,1.70,1.12,3.90,7.25,1.00,4.40,12.00,ALL
Lyngby BK,Kopenhag,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,4.00,3.20,1.50,1.80,1.18,1.08,12.00,4.00,1.00,7.25,4.00,1.08,1.75,3.00,2.30,1.30,3.60,4.00,ALL
FC Minsk,FC Slutsk,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.65,2.85,2.00,1.38,1.22,1.25,8.50,4.40,1.00,4.80,3.50,1.25,1.42,3.20,3.45,1.10,4.10,6.50,ALL
Nebitci Balkanabat,FC Asgabat,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.90,3.20,1.75,1.40,1.20,1.20,8.50,4.50,1.05,5.00,3.75,1.20,1.55,3.20,2.85,1.18,4.00,5.00,ALL
Suduva,Zalgiris,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.62,3.10,3.40,1.20,1.20,1.65,4.60,3.75,1.20,2.55,3.10,1.65,1.15,3.10,6.25,1.00,1.00,1.00,ALL
Brno,Dukla Prag,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.70,3.10,3.30,1.15,1.18,1.60,4.75,3.90,1.20,2.65,3.20,1.60,1.15,3.90,5.75,1.02,4.60,9.50,ALL
Mattersburg,Altach,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.35,2.95,2.20,1.35,1.25,1.30,7.25,4.40,1.08,4.00,3.50,1.30,1.35,3.40,3.60,1.08,4.25,6.50,ALL
FK Varnsdorf,Vik. Zizkov,0-4,0,4,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,3.10,3.00,1.75,1.55,1.20,1.18,1.00,1.00,1.00,5.75,3.75,1.18,1.55,3.10,2.80,1.18,3.90,5.00,ALL
WSG Tirol,St. Pölten,0-5,0,5,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.80,3.10,2.90,1.25,1.20,1.55,5.00,4.00,1.18,2.80,3.30,1.55,1.20,3.75,5.00,1.05,4.60,8.50,ALL
Unterhaching,Ingolstadt,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.10,2.90,2.55,1.35,1.25,1.40,6.50,4.25,1.10,3.50,3.30,1.40,1.25,3.50,4.50,1.05,4.40,8.00,ALL
Jablonec,Slovan Liberec,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.85,2.85,1.20,1.25,1.45,6.00,4.00,1.12,3.25,3.20,1.45,1.20,3.60,5.25,1.00,1.00,1.00,ALL
H. Rostock,Mannheim 07,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.85,2.85,3.00,1.18,1.25,1.50,5.50,4.00,1.15,3.10,3.20,1.50,1.18,3.60,5.50,1.00,1.00,1.00,ALL
Würzburg,Magdeburg,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.95,3.20,1.25,1.25,1.55,5.25,3.90,1.18,2.85,3.10,1.55,1.15,3.75,5.75,1.00,1.00,1.00,ALL
Belchatow,Sandecja,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.45,2.90,2.15,1.40,1.25,1.30,7.50,4.40,1.05,4.25,3.40,1.30,1.55,3.30,3.75,1.08,4.25,6.75,ALL
Vik. Köln,Zwickau,3-0,3,0,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.90,2.95,2.80,1.30,1.25,1.45,5.75,4.00,1.15,3.10,3.25,1.45,1.20,3.60,5.00,1.00,1.00,1.00,ALL
Fuglafjordur,EB/STREYMUR,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,1.80,3.20,2.80,1.20,1.18,1.55,4.75,4.00,1.18,2.80,3.30,1.55,1.20,3.75,5.00,1.00,1.00,1.00,ALL
Stomil Ols.,C Glogow,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.90,2.85,2.95,1.18,1.25,1.50,6.00,4.00,1.12,3.20,3.10,1.50,1.20,3.60,5.50,1.02,4.40,9.50,ALL
Mlada Boleslav,Fastav Zlin,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.90,3.30,1.15,1.20,1.55,5.50,3.90,1.15,2.90,3.00,1.55,1.15,3.60,6.25,1.00,1.00,1.00,ALL
Trinec,1.SK Prostej,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.62,3.20,3.50,4.40,3.75,1.25,4.40,3.75,1.25,2.50,3.10,1.65,1.12,3.90,6.25,1.00,1.00,1.00,ALL
MFK Chrudim,Hradec Kralove,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.75,2.90,2.05,1.45,1.25,1.25,8.50,4.40,1.05,4.75,3.50,1.25,1.40,3.20,3.50,1.12,4.25,6.50,ALL
Uerdingen 05,Meppen,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.95,2.30,1.30,1.20,1.35,6.75,4.40,1.08,3.75,3.40,1.35,1.30,3.50,3.90,1.08,4.40,7.00,ALL
SK Lisen,Jihlava,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,3.10,3.00,1.75,1..65,1.20,1.18,1.00,1.00,1.00,5.75,3.75,1.18,1.55,3.10,2.85,1.18,3.90,5.25,ALL
Puszcza,Chojniczanka,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.05,2.95,2.55,1.30,1.25,1.40,6.00,4.25,1.12,3.50,3.30,1.40,1.25,3.60,4.40,1.05,4.50,7.50,ALL
M. Legnica,Stal Mielec,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.25,2.90,2.35,1.35,1.25,1.35,6.75,4.25,1.08,3.75,3.40,1.35,1.30,3.40,4.00,1.08,4.40,7.25,ALL
S. Stalowa,Olimp Elblag,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.25,2.90,2.35,1.30,1.25,1.35,7.50,4.25,1.08,4.00,3.30,1.35,1.30,3.40,4.25,1.08,4.25,7.50,ALL
Kaiserslautern,1860 Münih,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.85,2.40,1.30,1.25,1.35,7.00,4.25,1.08,3.90,3.40,1.35,1.30,3.40,4.25,1.08,4.40,7.50,ALL
Gryf Wejherowo,Pogon Siedl,2-3,2,3,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,3.10,3.10,1.75,1.70,1.18,1.18,9.00,4.60,1.02,5.50,3.75,1.18,1.55,3.20,2.75,1.18,4.00,5.00,ALL
Olimpia,P. Bielsko,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.00,3.10,1.75,1.75,1.18,1.18,9.00,4.60,1.02,5.25,3.75,1.18,1.55,3.20,2.80,1.18,4.00,5.00,ALL
Sturm Graz,Wolfsberg,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,3.00,2.30,1.45,1.20,1.35,6.50,4.25,1.08,3.60,3.40,1.35,1.30,3.50,3.90,1.08,4.40,7.00,ALL
Opava,Bohemians Prag,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.70,2.20,1.40,1.25,1.25,8.50,4.25,1.05,4.75,3.30,1.25,1.35,3.20,4.00,1.08,4.25,7.50,ALL
Banik Ostrava,Viktoria Plzen,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,4.00,3.20,1.50,1.65,1.20,1.08,1.00,1.00,1.00,7.50,4.00,1.08,1.75,3.00,2.30,1.30,3.60,4.00,ALL
Hallescher,Braunschweig,0-1,0,1,1,MS - 2,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.60,2.90,2.00,1.30,1.25,1.25,1.00,1.00,1.00,4.75,3.50,1.25,1.45,3.25,3.40,1.12,4.25,6.25,ALL
Elana Torun,Stal Rzeszow,1-4,1,4,5,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.85,3.00,2.85,1.25,1.25,1.50,5.50,4.00,1.15,3.00,3.20,1.50,1.20,3.60,5.00,1.05,4.50,9.00,ALL
Paide Flora,Flora Tall,1-3,1,3,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.85,3.00,1.85,1.45,1.20,1.20,8.50,4.60,1.05,5.00,3.75,1.20,1.50,3.30,2.95,1.15,4.00,5.25,ALL
Z Pruszkow,Bytovia Byto,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.45,3.00,2.10,1.45,1.20,1.30,7.50,4.40,1.05,4.25,3.50,1.30,1.40,3.40,3.40,1.12,4.25,6.25,ALL
Nomme Kalju,Levadia Tall,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.70,2.90,2.00,1.40,1.25,1.25,1.00,1.00,1.00,4.60,3.60,1.25,1.45,3.30,3.25,1.12,4.25,5.75,ALL
Resovia,Blekitni Sta,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.80,3.00,2.95,1.20,1.20,1.55,5.50,4.00,1.15,2.95,3.10,1.55,1.20,3.60,5.25,1.02,4.50,9.00,ALL
AD Juventud Escazucena,Futbol Consultants Desamp,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.80,2.85,3.20,1.22,1.25,1.52,5.50,3.95,1.15,2..95,3.10,1.52,1.15,3.70,5.90,1.00,4.50,10.00,ALL
Portimonense,PortimonenseGil Vicente,1-0,1,0,1,MS - 1,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,2.25,2.65,2.55,1.25,1.25,1.35,8.00,4.25,1.08,4.00,3.20,1.35,1.25,3.30,4.75,1.05,4.25,9.00,ALL
Lech Poznan II,RKS Garbarnia Krakow,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.45,2.85,2.15,1.40,1.25,1.30,8.00,4.40,1.05,4.40,3.40,1.30,1.35,3.25,3.75,1.08,4.25,7.00,ALL
Werder Bremen,Eintracht Frankfurt,0-3,0,3,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.40,3.00,2.20,1.38,1.28,1.30,7.00,4.40,1.06,4.00,3.55,1.30,1.38,3.45,3.60,1.10,4.30,6.50,ALL
Jastrzebie,Warta Poznan,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.25,2.85,2.40,1.30,1.25,1.35,7.25,4.25,1.08,3.90,3.30,1.35,1.30,3.40,4.25,1.05,4.25,7.50,ALL
Dynamo Budejovice,Sigma Olomouc,2-0,2,0,2,MS - 1,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.10,2.85,2.50,1.30,1.25,1.40,6.75,4.25,1.08,3.60,3.25,1.40,1.25,3.40,4.50,1.05,4.40,8.00,ALL
Katowice,G. Leczna,2-1,2,1,3,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,2.95,2.35,1.35,1.25,1.35,7.00,4.25,1.08,3.90,3.30,1.35,1.30,3.40,4.00,1.08,4.40,7.25,ALL
Vitoria Guimaraes,Sporting Lizbon,2-2,2,2,4,MS - X,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,2.20,2.85,2.40,1.25,1.25,1.35,7.00,4.25,1.08,3.75,3.30,1.35,1.30,3.40,4.25,1.05,4.40,7.50,ALL
Radomiak Rad,Odra Opole,0-0,0,0,0,MS - X,1.5 ALT,2.5 ALT,3.5 ALT,4.5 ALT,1.75,2.95,3.20,1.18,1.25,1.55,5.50,3.90,1.15,2.90,3.00,1.55,1.15,3.60,6.00,1.02,4.50,10.00,ALL
Maritimo,Vitoria Setubal,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,2.70,2.95,1.20,1.25,1.45,6.75,4.00,1.12,3.50,3.00,1.45,1.20,3.50,5.75,1.00,1.00,1.00,ALL
Sporting San Jose,AD Guanacasteca,5-0,5,0,5,MS - 1,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ÜST,1.65,2.95,3.70,1.18,1.25,1.65,5.00,3.75,1.20,2.65,2.95,1.65,1.12,3.80,7.00,1.00,1.00,1.00,ALL
GKS Tychy,Z Sosnowiec,1-1,1,1,2,MS - X,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,1.95,3.10,2.65,1.30,1.20,1.45,5.75,4.00,1.12,3.20,3.30,1.45,1.25,3.60,4.60,1.05,4.50,8.00,ALL
Aves,Belenenses,0-2,0,2,2,MS - 2,1.5 ÜST,2.5 ALT,3.5 ALT,4.5 ALT,2.50,2.70,2.20,1.35,1.25,1.25,8.50,4.25,1.05,4.75,3.30,1.25,1.35,3.20,4.00,1.08,4.25,7.50,ALL
Greuther Furth,Sandhausen,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.20,2.85,2.40,1.30,1.25,1.35,6.75,4.25,1.08,3.75,3.40,1.35,1.30,3.50,4.25,1.08,4.40,7.50,ALL
Dornbirn,SKU Amstetten,0-4,0,4,4,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ÜST,4.5 ALT,1.70,3.25,3.10,1.25,1.20,1.60,4.75,3.90,1.20,2.65,3.20,1.60,1.18,3.75,5.50,1.02,4.60,9.00,ALL
Fredericia,Vejle,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.70,3.00,1.95,1.25,1.20,1.25,8.00,4.50,1.05,4.75,3.60,1.25,1.45,3.30,3.10,1.15,4.00,5.75,ALL
Incheon United FC,Gangwon FC,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,3.35,2.90,1.75,1.55,1.22,1.15,1.00,1.00,1.00,6.25,3.75,1.15,1.58,3.05,2.85,1.18,3.90,5.25,ALL
Korona Kielce,Piast Gliwice,1-2,1,2,3,MS - 2,1.5 ÜST,2.5 ÜST,3.5 ALT,4.5 ALT,2.85,2.70,2.00,1.40,1.25,1.20,1.00,1.00,1.00,5.50,3.50,1.20,1.45,3.10,3.50,1.10,4.00,6.75,ALL
